"article_id","full_name","sex","birth_year","city","state","country","continent","latitude","longitude","occupation","industry","domain","article_languages","page_views","average_views","historical_popularity_index"
308,"Aristotle","Male","-384","Stageira","","Greece","Europe",40.33333,23.5,"Philosopher","Philosophy","Humanities",152,56355172,370758,31.9938
22954,"Plato","Male","-427","Athens","","Greece","Europe",37.96667,23.71667,"Philosopher","Philosophy","Humanities",142,46812003,329662,31.9888
1095706,"Jesus Christ","Male","-4","Judea","","Israel","Asia",32.5,34.9,"Religious Figure","Religion","Institutions",214,60299092,281771,31.8981
25664190,"Socrates","Male","-469","Athens","","Greece","Europe",37.96667,23.71667,"Philosopher","Philosophy","Humanities",137,40307143,294213,31.6521
783,"Alexander the Great","Male","-356","Pella","","Greece","Europe",40.8,22.51667,"Military Personnel","Military","Institutions",138,48358148,350421,31.584
18079,"Leonardo da Vinci","Male","1452","Vinci","","Italy","Europe",43.78333,10.91667,"Inventor","Invention","Science & Technology",174,88931135,511098,31.4644
5823,"Confucius","Male","-551","Qufu","","China","Asia",NA,NA,"Philosopher","Philosophy","Humanities",192,22363652,116477,31.3705
15924,"Julius Caesar","Male","-100","Rome","","Italy","Europe",41.9,12.5,"Politician","Government","Institutions",128,43088745,336631,31.1161
13633,"Homer","Male","-800","Smyrna","","Turkey","Europe",38.41861,27.13917,"Writer","Language","Humanities",141,20839405,147797,31.1087
23275,"Pythagoras","Male","-570","Samos Island","","Greece","Europe",37.75,26.83333,"Philosopher","Philosophy","Humanities",114,26168219,229546,31.0691
1844,"Archimedes","Male","-287","Syracuse","","Italy","Europe",37.08333,15.28333,"Mathematician","Math","Science & Technology",129,22022077,170714,30.9907
19577,"Moses","Male","-1391","Wadi Tumilat","","Egypt","Africa",NA,NA,"Religious Figure","Religion","Institutions",115,21880195,190263,30.8632
18934,"Muhammad","Male","570","Mecca","","Saudi Arabia","Asia",21.41667,39.81667,"Religious Figure","Religion","Institutions",150,43026648,286844,30.65
1436,"Abraham","Male","-1800","Other","","Unknown","",33.7,43.5,"Religious Figure","Religion","Institutions",105,17824676,169759,30.6047
2731583,"Adolf Hitler","Male","1889","Braunau am Inn","","Austria","Europe",48.25833,13.035,"Politician","Government","Institutions",169,128368798,759579,30.5778
33163,"Wolfgang Amadeus Mozart","Male","1756","Salzburg","","Austria","Europe",47.8,13.03333,"Composer","Music","Arts",177,51363334,290188,30.5146
5314,"Charlemagne","Male","742","Liège","","Belgium","Europe",NA,NA,"Politician","Government","Institutions",116,26626252,229537,30.4837
